recommendationid	label	score	correct	text
44022347	ポジティブ	0.8743389248847961	正解	箱も箱oneパッドも動かない…なんでだろう…\nキーボード限定？いやいやいやなんかアイテムポーチ操作のキーボードとパッド操作切り替えはあるみたいだし\n\nＨＵＢポートがだめなのかと思い前面にさしなおしてもだめ\n2,0も3,0もだめ\n\nまじでこれ　まじか\n追記\nスチームの左上のSteam→設定→コントローラー→一般のコントローラー設定→Xboxの設定サポートにチェック入れる\nこれで箱コンうごきましたという情報をゲット\nそしてハッピー
44022775	ポジティブ	0.9305040240287781	正解	マウス操作の利点である瞬間的なエイムがコントローラーを軸にされていてぬるぬると動くのでできない。\nマウスの意味がないしなぜコントローラーのスティックのような動きをマウスに組み込ませたのか疑問に思う。\nせめてアップデートで直ることを期待している。これじゃ弓なんて使えない。他FPS,TPSのようなエイムができることを心から願う。\n\nだが、慣れたら楽しいです！！！！！！！２おーるしちゃいました
44022804	ポジティブ	0.808456540107727	不正解	そうだねフルコントローラーサポートって書いてないもんね\nバカかな？\n\n追記\nコントローラーに関するドライバ全部消して入れなおしたらなんか使えるようになった\nごめんねカプコン　でもサムズダウンのままにする
44023696	ポジティブ	0.9449852705001831	正解	コントローラー使えない方へ。\nグーグル翻訳のままですがとりあえず貼り付けます。\n僕はこの手順でコントローラーが使えるようになりました。\n試してみてください\n\nSteam Appの左上隅にある「Steam」をクリックします。\n設定をクリックします。\nコントローラ\n一般的なコントローラの設定\nXbox、プレイステーション、またはスイッチコントローラを有効にする （自分が使うコントローラーにチェック付けるだけでよいと思います。）
44023719	ポジティブ	0.9599711298942566	正解	箱oneコン最初動かなかったですがSteamのBigPictureモードのコントローラ設定のXBOX設定にチェック入れると動くようになりました。動かない方は試してみて
44024023	ポジティブ	0.9242733716964722	正解	マッチングの条件を細かく出来たらいいなぁ\nなんだかんだでオススメですが、クロスプラットフォームじゃないのはなんでや\n人少ないんだがｗ
44024064	ポジティブ	0.9078437685966492	正解	箱コンで動かない人へ\nライブラリでコントローラ設定しないと動きません。\n自分もおかしいと思い箱マークボタンを押してモンハンのゲーム管理で詳細を見てみたら\n非対応マークが出ていたのでSteamコントローラオプションの設定項目の\n｛Steamを非Steamコントローラで使用｝を「強制オン」にしてゲーム起動したら\n箱コンでちゃんと認識してくれました。
44025128	ポジティブ	0.8994503617286682	正解	最初パッド使えなかったけど\nsteamのビッグピクチャーの設定でコントローラーにチェックつけたら\n難なく使えるようになった\nコントローラーの操作なら快適\n\n買いな人\n・モンハン久しぶりにやってみたい\n・FPS60以上でぬるぬるなモンハンやりたい\n・操作はパッドでOK\n・マルチよりしこしこソロプレイが好き\n\n不買な人\n・快適にマウスとキーボード操作したい　（現在マウスの操作性微妙）\n・マルチメインでワイワイ楽しみたい　　（現在エラー吐いて頻繁にサバから落とされる）\n・少なくともこれらが改善されるまで買わない方
44025183	ポジティブ	0.9097161293029785	正解	動画シーンのラグがひどいのなんの......\nそれどころか動きがもっさりしててやり辛い。正直、これ本当にデバッグしたのかって思う位にひどい\n今後、改善されると期待したいが今の状態ではちょっと......ねえ？\n絵が綺麗なのは分かるし、凝りたくなるのも分かるけど、それ以前にPCゲーとして売るんだしもっとゲームのシステム性を重視して欲しい。どうでもいいけどFPSモードも欲しい。できれば"某ダーランズ”みたくヌルヌルなゲームして欲しい。\nまあ、リリース初日だし改善されれば問題なし。
44025987	ポジティブ	0.9075475335121155	正解	私がこれで苦労したので一応記しておきます。\nモンハンはコントローラーで楽しみたい人も多いと思いますが、steam側でコントローラー設定を有効化しないとコントローラーを使うことができませんので注意してください。\n私はsteamクライアント左上の「表示」から「Big Pictureモード」に切り替えて、右上の設定(歯車マーク)から有効化しました。\n\n簡単にレビューもしておくと、2ndG→<DATE>tri-とグラフィックの進化を経験した人にとっては待望の作品だと思います。クエストのボリューム自体は過去作と比べて
44026017	ポジティブ	0.7002019286155701	正解	まず、箱コン使えないという意見が多いが、steamの設定見直せば使えます。\n良い点\n・なんといってもグラフィック。スペックによるが、I<DATE> Gtx1060(3gb)では、高設定でFPS60はぎりぎり届く。\n・ロード時間の短さ（ＳＳＤ）などなど\n・想像以上にキーボードでの操作は快適\n悪い点\n・普段ＦＰＳゲームを主にプレイしているせいかカメラワークに戸惑う。（コントローラーのような動きをする）\n・上記のようにパッドをただつないだだけでは反応しない可能性がある。\n\nモンハンシリーズはＰＳＰ以来プレイしてい
44026271	ポジティブ	0.9612600803375244	正解	まだ細かなところまで言及できるほどプレイはしていませんが、今の所ｳﾋｮｰ(っ'ヮ'c) と、テンションが上がる程度には友人と共に楽しめております。\nモンハンをプレイするのはP2G以来ですが...モンハン昔やってたなぁという方はぜひともプレイしてモンハンの進化を体感していただきたいです。\n\nまた、言うまでもありませんがモンハンは誰かと一緒にプレイすると面白さが倍増します！ かつて一緒に狩りに行っていた友人に声をかけてみると良いかも知れません。
